U 70 | F 143360 | FPS 0571 | D 272 | rR: 0.21 0.38 0.00 0.96 | F: 253.9 290.1 4.0 1000.0 | H 1.932 | V 0.052 | pL 0.001 | vL 0.003 | dL 0.012
Status saved
U 71 | F 145408 | FPS 0570 | D 276 | rR: 0.26 0.40 0.00 0.98 | F: 164.6 198.7 1.0 661.0 | H 1.931 | V 0.067 | pL -0.012 | vL 0.010 | dL 0.029
U 72 | F 147456 | FPS 0567 | D 279 | rR: 0.13 0.32 0.00 0.98 | F: 342.0 397.2 1.0 1000.0 | H 1.936 | V 0.056 | pL 0.011 | vL 0.000 | dL 0.006
U 73 | F 149504 | FPS 0559 | D 283 | rR: 0.10 0.27 0.00 0.93 | F: 217.8 235.1 4.0 1000.0 | H 1.935 | V 0.061 | pL 0.001 | vL 0.005 | dL 0.017
U 74 | F 151552 | FPS 0594 | D 286 | rR: 0.10 0.30 0.00 0.95 | F: 156.0 232.8 7.0 1000.0 | H 1.925 | V 0.063 | pL -0.000 | vL 0.004 | dL 0.019
U 75 | F 153600 | FPS 0554 | D 290 | rR: 0.17 0.36 0.00 0.95 | F: 140.4 227.4 7.0 1000.0 | H 1.914 | V 0.052 | pL 0.001 | vL 0.003 | dL 0.011
U 76 | F 155648 | FPS 0552 | D 294 | rR: 0.17 0.36 0.00 0.95 | F: 108.1 68.4 28.0 265.0 | H 1.938 | V 0.043 | pL 0.009 | vL 0.000 | dL 0.004
U 77 | F 157696 | FPS 0473 | D 298 | rR: 0.17 0.36 0.00 0.95 | F: 198.6 185.8 16.0 644.0 | H 1.943 | V 0.042 | pL -0.000 | vL 0.003 | dL 0.011
U 78 | F 159744 | FPS 0534 | D 302 | rR: 0.06 0.22 0.00 0.90 | F: 283.2 256.3 16.0 1000.0 | H 1.944 | V 0.033 | pL 0.009 | vL 0.000 | dL 0.003
U 79 | F 161792 | FPS 0573 | D 306 | rR: 0.06 0.22 0.00 0.90 | F: 301.3 318.3 16.0 1000.0 | H 1.945 | V 0.027 | pL 0.005 | vL 0.000 | dL 0.001
U 80 | F 163840 | FPS 0449 | D 310 | rR: 0.00 0.00 0.00 0.00 | F: 285.2 356.5 8.0 1000.0 | H 1.945 | V 0.021 | pL 0.005 | vL 0.000 | dL 0.001
Status saved
U 81 | F 165888 | FPS 0468 | D 315 | rR: 0.06 0.22 0.00 0.93 | F: 329.5 387.4 8.0 1000.0 | H 1.943 | V 0.022 | pL -0.004 | vL 0.003 | dL 0.010
U 82 | F 167936 | FPS 0434 | D 319 | rR: 0.11 0.28 0.00 0.93 | F: 430.9 407.2 5.0 1000.0 | H 1.937 | V 0.024 | pL 0.004 | vL 0.001 | dL 0.006
U 83 | F 169984 | FPS 0479 | D 324 | rR: 0.07 0.21 0.00 0.76 | F: 459.6 378.6 5.0 1000.0 | H 1.939 | V 0.017 | pL 0.000 | vL 0.001 | dL 0.006
U 84 | F 172032 | FPS 0530 | D 327 | rR: 0.05 0.20 0.00 0.81 | F: 231.2 310.5 6.0 1000.0 | H 1.936 | V 0.020 | pL 0.001 | vL 0.002 | dL 0.008
U 85 | F 174080 | FPS 0557 | D 331 | rR: 0.04 0.16 0.00 0.65 | F: 241.7 315.7 9.0 1000.0 | H 1.938 | V 0.020 | pL -0.002 | vL 0.002 | dL 0.006
U 86 | F 176128 | FPS 0501 | D 335 | rR: 0.16 0.33 0.00 0.97 | F: 172.7 250.6 9.0 1000.0 | H 1.930 | V 0.025 | pL -0.005 | vL 0.003 | dL 0.011
U 87 | F 178176 | FPS 0472 | D 340 | rR: 0.16 0.33 0.00 0.97 | F: 263.4 272.2 12.0 970.0 | H 1.942 | V 0.020 | pL 0.006 | vL 0.000 | dL 0.003
U 88 | F 180224 | FPS 0487 | D 344 | rR: 0.03 0.13 0.00 0.55 | F: 234.0 223.4 3.0 643.0 | H 1.941 | V 0.020 | pL -0.000 | vL 0.001 | dL 0.006
U 89 | F 182272 | FPS 0510 | D 348 | rR: 0.11 0.25 0.00 0.91 | F: 179.6 205.1 7.0 753.0 | H 1.942 | V 0.016 | pL 0.000 | vL 0.002 | dL 0.007
