U 43 | F 088064 | FPS 0575 | D 170 | rR:0.00 0.00 0.00 0.00 | F:533.7 416.8 7.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
U 44 | F 090112 | FPS 0569 | D 174 | rR:0.00 0.00 0.00 0.00 | F:577.2 408.2 7.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
U 45 | F 092160 | FPS 0586 | D 178 | rR:0.00 0.00 0.00 0.00 | F:569.1 380.9 7.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
U 46 | F 094208 | FPS 0548 | D 181 | rR:0.00 0.00 0.00 0.00 | F:588.8 374.9 18.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
U 47 | F 096256 | FPS 0567 | D 185 | rR:0.00 0.00 0.00 0.00 | F:629.1 382.2 18.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
U 48 | F 098304 | FPS 0503 | D 189 | rR:0.00 0.00 0.00 0.00 | F:687.0 363.3 18.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
U 49 | F 100352 | FPS 0587 | D 193 | rR:0.00 0.00 0.00 0.00 | F:691.1 345.1 18.0 1000.0 | H 1.946 | V -0.000 | pL 0.000 | vL 0.000 |dL 0.000
U 50 | F 102400 | FPS 0563 | D 196 | rR:0.00 0.00 0.00 0.00 | F:638.7 347.0 18.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
Status saved
U 51 | F 104448 | FPS 0563 | D 200 | rR:0.00 0.00 0.00 0.00 | F:644.6 334.8 150.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
U 52 | F 106496 | FPS 0578 | D 203 | rR:0.00 0.00 0.00 0.00 | F:594.7 337.6 150.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
U 53 | F 108544 | FPS 0574 | D 207 | rR:0.00 0.00 0.00 0.00 | F:635.1 344.9 150.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
U 54 | F 110592 | FPS 0569 | D 211 | rR:0.00 0.00 0.00 0.00 | F:654.5 356.0 150.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
U 55 | F 112640 | FPS 0568 | D 214 | rR:0.02 0.06 0.00 0.27 | F:692.8 348.2 150.0 1000.0 | H 1.942 | V 0.003 | pL -0.002 | vL 0.000 |dL 0.006
U 56 | F 114688 | FPS 0584 | D 218 | rR:0.02 0.06 0.00 0.27 | F:678.6 359.6 121.0 1000.0 | H 1.945 | V -0.006 | pL -0.001 | vL 0.000 |dL 0.001
U 57 | F 116736 | FPS 0565 | D 221 | rR:0.02 0.06 0.00 0.27 | F:694.9 340.8 121.0 1000.0 | H 1.946 | V -0.004 | pL -0.001 | vL 0.000 |dL 0.000
U 58 | F 118784 | FPS 0560 | D 225 | rR:0.02 0.06 0.00 0.27 | F:619.4 340.9 121.0 1000.0 | H 1.946 | V -0.004 | pL -0.001 | vL 0.000 |dL 0.001
U 59 | F 120832 | FPS 0533 | D 229 | rR:0.00 0.00 0.00 0.00 | F:605.4 371.7 112.0 1000.0 | H 1.946 | V -0.003 | pL -0.001 | vL 0.000 |dL 0.000
U 60 | F 122880 | FPS 0587 | D 232 | rR:0.01 0.03 0.00 0.13 | F:645.2 374.1 112.0 1000.0 | H 1.945 | V -0.002 | pL -0.001 | vL 0.000 |dL 0.002
Status saved
U 61 | F 124928 | FPS 0567 | D 236 | rR:0.01 0.03 0.00 0.13 | F:667.1 383.9 112.0 1000.0 | H 1.946 | V -0.005 | pL -0.001 | vL 0.000 |dL 0.000
U 62 | F 126976 | FPS 0546 | D 240 | rR:0.01 0.03 0.00 0.13 | F:687.8 356.7 112.0 1000.0 | H 1.946 | V -0.004 | pL -0.001 | vL 0.000 |dL 0.001
U 63 | F 129024 | FPS 0585 | D 243 | rR:0.01 0.03 0.00 0.13 | F:741.9 333.7 112.0 1000.0 | H 1.946 | V -0.003 | pL -0.001 | vL 0.000 |dL 0.001
U 64 | F 131072 | FPS 0571 | D 247 | rR:0.03 0.10 0.00 0.39 | F:781.4 328.6 105.0 1000.0 | H 1.946 | V -0.003 | pL -0.001 | vL 0.000 |dL 0.001
U 65 | F 133120 | FPS 0562 | D 251 | rR:0.03 0.10 0.00 0.39 | F:714.4 377.9 81.0 1000.0 | H 1.946 | V -0.003 | pL -0.000 | vL 0.000 |dL 0.000
U 66 | F 135168 | FPS 0512 | D 255 | rR:0.02 0.09 0.00 0.39 | F:635.2 401.7 18.0 1000.0 | H 1.946 | V -0.002 | pL -0.001 | vL 0.000 |dL 0.000
U 67 | F 137216 | FPS 0587 | D 258 | rR:0.02 0.09 0.00 0.39 | F:664.6 410.0 18.0 1000.0 | H 1.946 | V -0.002 | pL -0.000 | vL 0.000 |dL 0.000
U 68 | F 139264 | FPS 0566 | D 262 | rR:0.00 0.00 0.00 0.00 | F:605.3 426.3 18.0 1000.0 | H 1.946 | V -0.002 | pL -0.000 | vL 0.000 |dL 0.000
